Review_ID,Actual_Sentiment,Primary_Aspect,Review_Text,Predicted_Sentiment,Polarity,Subjectivity
1,Mixed,Food/Restaurant & Staff,lunch meal was very nice. lavish our waiter was very attentive sometimes a bit too much. restaurant very nice. thoroughly enjoyable.,positive,0.556,0.76
2,Positive,Food/Restaurant & Staff,wonderful experience at cafe resto. always with mr. lavish. the experience at resto is worldclass friendly. we would love to visit again and again.,positive,0.625,0.7
3,Negative,Overall & Room & Staff,this socalled 5star hotel barely feels like a 3star. service is extremely poor. staff is unprofessional. rooms are no better. walls are so thin you can hear everything. worst experience by far. room bedsheets towels look and feel cheap. not worth the price or a 5star experience.,negative,-0.206,0.606
4,Positive,Staff & Food/Restaurant,thank you ankit for your great service. food was really great at the restaurant. would highly recommend.,positive,0.587,0.68
5,Positive,Location & Price & Staff,location is ideal. pricing is reasonable. people staff are good.,positive,0.6,0.733
6,Positive,Room,great one! rooms are very clean and aesthetic.,positive,0.738,0.83
7,Positive,Staff,had a very pleasant experience with the front office team shruti kashyap.,positive,0.953,1.0
8,Mixed,Room,i found only suite rooms to be spacious.,neutral,0.0,1.0
9,Positive,Room & Facilities & Location,good looking and very pleasant to stay. ac is also working well. good furniture nice looking. good maintenance. overall everything is good. adyar anandabavan and kabilar theertham fallstemple are nearby.,positive,0.622,0.629
10,Negative,Room & Staff & Booking/Check-in,hotel is very dirty sticky and cheap. staff does not understand english. no showertv not working. booked executive room but was given a horrible standard room. overall experience is worst.,negative,-0.34,0.529
11,Negative,Staff/Management & Facilities & Room,wait time of 45 mins for room. tv never worked. frequent water shortages. management is very irresponsible. rooms were pretty unclean. avoid this one if traveling with family.,positive,0.183,0.533
12,Negative,Room & Cleanliness,this is a zero star hotel. pretty old. bed bugs everywhere. pillow covers bed bugs towels had a bad smell and color. reserve elsewhere.,negative,-0.117,0.622
13,Positive,Value & Overall & Staff & Location,fantastic value for the money. staff and location were good. overall experience was very positive. comfortable and affordable place to stay.,positive,0.359,0.602
14,Mixed,Food/Breakfast & Staff & Room,good hotel. only variety in the breakfast could be increased. ac problem was immediately resolved by changing the room. staff is wellmannered and helpful.,positive,0.35,0.8
15,Negative,Room & Service & Facilities,very bad experience for nonac rooms. very bad room worst service. no ventilation. dirty fan runs slowly. plugs are falling lights not working. no service or change of linens.,negative,-0.744,0.787
16,Negative,Room & Staff & Service & Cleanliness,rooms are terrible. staff takes too much time for requests. reception person is very annoying. room was dirty even the second room was dirty. rooms are smelly bedsheets are dirty towels are torn.,negative,-0.514,0.657
17,Positive,Service & Room & Location & Cleanliness & Value,great customer service great rooms apt cleanliness awesome proximity to railway and bus station. best budget stay!,positive,0.84,0.76
18,Mixed,Overall & Room & Staff & Facilities,very good budget hotel for short stay. spacious rooms neat and clean. staff and manager were very cooperative. only disadvantage is no attached restaurant but choices are nearby. overall experience is good.,positive,0.311,0.526
19,Negative,Facilities & Service & Room/Bathroom & Noise,very basic budget hotel fairly ok moderately clean. no restaurant attached big minus. poor room service for teacoffee. bathroom needs better lighting and faucet change. too much noise. very basic and budget.,positive,0.119,0.336
20,Negative,Booking/Price & Staff,hotel dishonored online booking rs 1800 and demanded rs 3000 per day at checkin claiming no availability otherwise. cheap and fraudulent.,positive,0.4,0.7
21,Negative,Overall & Food & Management,this is a thirdclass hotel. foodlunch is not available. no management.,negative,-0.2,0.4
22,Negative,Management & Staff & Food/Restaurant,very bad management. only two girls in service. restaurant service is very bad. food is very bad. no manager not proper service.,negative,-0.546,0.74
23,Negative,Overall & Facilities & Staff & Service,very disappointing stay. worst hotel. ac not working staff unhelpful. washroom hangers were rusty room felt outdated. staff unprofessional refused to honor complimentary beer offer. poor service lack of maintenance.,negative,-0.456,0.729
24,Negative,Booking & Staff/Service,called to book 3 rooms. person couldnt understand query disconnected and never called back. unprofessional behavior.,neutral,0.0,0.0
25,Negative,Overall & Room & Facilities,not the best experience. overall environment is pretty dull due to renovation. room was ok. no teacoffee sachetskettle in room only in common area. lights were switched off making ambience gloomy and dull.,positive,0.082,0.519
26,Positive,Overall & Staff & Service & Room & Food,good experience. staff was very kind and supportive. service was really good. rooms were neat and clean. food was good too.,positive,0.624,0.75
27,Mixed,Noise & Staff,fine some noise wedding and barking dogs nearby but very friendly staff who were always available.,positive,0.435,0.517
28,Positive,Overall & Location & Service & Room,beautiful hotel great location. service attentive to every need. beautiful terrace overlooking the fort. room was spacious and very clean. highly recommend.,positive,0.589,0.85
29,Positive,Staff & Room & Facilities,lovely staff lovely rooms with very functional ac electricity and hot water. toilet paper provided. received a gifted food parcel. felt like home.,positive,0.319,0.608
30,Negative,Room & Maintenance & Facilities & Value,worst stay ever. lot of mosquitoes no repellent provided. old rooms with poor maintenance. door locks not proper. blankets are very thin and small. not worth the money.,negative,-0.221,0.55
31,Negative,Room & Price/Booking & Amenities,crammed building small internal courtyard. felt claustrophobic. rooms are very small. given a smallish room despite paying for bigger online asked to pay more for better room. bed was a disaster hard as a table. would not come back.,negative,-0.069,0.412
32,Positive,Overall & Staff & Room & Price & Facilities & Location,well known for hospitality. rooms are small and cozy but wellmaintained and pocketfriendly. cycles for rent. close to beach and white town surrounding is good. no lunchdinner attached. very good experience overall.,positive,0.193,0.422
33,Positive,Overall & Room & Staff,amazing stay. room was clean and well maintained. reception guy was very helpful and provided local guidance. totally recommend.,positive,0.233,0.53
34,Positive,Location & Room & Food/Breakfast,pretty nearby to beaches and main market. accessible to all places. rooms were clean and simple. breakfast is available only on request.,positive,0.223,0.595
35,Positive,Price/Value & Location & Cleanliness & Staff,good budget class hotel. comfortable and safe worth staying for the price. in the heart of the city close to important spots. good clean and hygienic. hoteliers are very friendly.,positive,0.482,0.619
36,Negative,Service & Facilities & Booking/Price,pathetic customer service. they dont take luggage to the room. not a 4star hotel as advertised mmt. half of the mentioned things are not available no inhouse restaurant. mmt charged too high. ignore if visiting with family.,negative,-0.302,0.527
37,Positive,Staff & Cleanliness,very nice people staff. super helpful. did not disappoint even during a busy weekend. cleanliness is a plus.,positive,0.404,0.656
38,Mixed,Room & Facilities/Maintenance,room was clean but bathroom needed more maintenance. no doormat outside the bathroom. overall ok for a nights stay. car parking was not onsite.,positive,0.273,0.35
39,Positive,Overall & Location & Room & Staff,best hotel in pondicherry. location pleasant rooms and wellappointed staff. enjoyed the environment. received a discount coupon for next stay.,positive,0.558,0.492
40,Positive,Overall & Food & Staff,great stay at taj cochin international hotel nearby airport. food was fantastic with lots of options. thanks to sourav mrinmoy and manager mr. akshit for taking care of us.,positive,0.35,0.462
41,Positive,Overall & Staff & Food,wonderful experience. staff was so polite. food was also awesome. sourav was a good staff member.,positive,0.9,0.867
42,Positive,Overall & Room & Staff & Food/Restaurant,excellent stay after a long trip. warm décor soothing lighting. welcome amenities and room upgrade were thoughtful. sumptuous lunch at vista dining area. elegant restaurant ambience.,positive,0.542,0.733
43,Negative,Staff & Room/Bathroom,room was average. washroom was broken and old. front desk staff took phone and forced a 5star rating on the mmt app. rest of the staff was still good.,negative,-0.01,0.36
44,Negative,Room & Facilities & Cleanliness & Price/Star Rating,this is a 2star hotel sold as 4star. everything in the room is broken. floor is chipped. bathroom has mold and is not properly cleaned. sink leaks. poor wifi connection. do not waste your money.,negative,-0.175,0.275
45,Negative,Room & Safety & Cleanliness & Staff & Accessibility,very disappointed. rooms are not kidfriendly unsafe stairs sharp railings high bed. low cleanliness smelly stained linentowels. accessibility issues 3540 stairs to reach room. inexperienced and undertrained staff. location is decent. food is okay.,negative,-0.053,0.619
46,Positive,Overall & Staff & Amenities,nice accommodation with a scenic view. staff was friendly and everything was well managed. quiet space for working. staff helped with booking activities trekking cab.,positive,0.325,0.611
47,Negative,Room & Cleanliness & Food/Breakfast,stay was not good. basic room had wear  tear theme. towels and bed sheets were worn torn and stained. prominent dust on furniture. very shabby room. breakfast experience was not good very limited options.,negative,-0.015,0.468
48,Negative,Food/Restaurant & Price/Billing & Service,starter orders were forgotten. charged rs 500 for a dish listed at rs 280 claimed it was a special without prior mention. the bill item was different from the dish. pieces of fish were small. cheats unethical charging.,positive,0.027,0.393
49,Mixed,Room & Food/Restaurant & Facilities,room was comfortable and adequate. dinner restaurant was empty most drinks on the menu were unavailable limited food menu. breakfast dining room was empty buffet not out several items unavailable on the second day. would not stay again.,positive,0.12,0.347
50,Positive,Food/Restaurant & Staff,fantastic meal from a team of lovely very friendly waiters. gave good advice on food. food was really tasty delicious and not too spicy.,positive,0.548,0.683
51,Negative,Service & Food & Activities & Staff,worst experience. no response from staff for room service. no activities. nobody will assist. expired food products served. scam in food packages very limited worsttasting items included vs. paid food.,negative,-0.546,0.593
52,Negative,Facilities & Room & Service & Cleanliness & Food,absolutely nothing works. no hot water. lizards infested. bathroom looks horrible. room service takes 1 hour. full of mosquitos in the restaurant. horrible breakfast spread. would never come back.,negative,-0.263,0.717
53,Mixed,Overall & Location & Ambience,not satisfied. located in the outskirts of the city. resort has good ambience but no wow factor to visit again.,positive,0.133,0.867
54,Positive,Overall & Location/Ambience,excellent place to relax. very close to nature surrounded by lush greenery good air. good spot for various types of trips.,positive,0.45,0.55
55,Negative,Food & Price & Staff & Maintenance & Activities,resort needs to be improved a lot. food is 3 times costlier and taste is worst. disappointing and unsatisfactory. staffs are not really helpful slow response time. leaking water in bathroom tapcommode. no activities except pool. complimentrary water bottles not provided until asked. utterly disappointed worthless.,negative,-0.592,0.658
56,Positive,Overall & Ambience & Service,amazing experience at chitravana resort. property is simply natural beautiful artarchitecture. service is first class.,positive,0.45,0.658
57,Positive,Room & Service & Location,outstanding hotel experience. the room was immaculate with modern amenities. housekeeping service was prompt and thorough. location is perfect for business travelers. close to airport and city center. highly recommend for anyone visiting the area.,positive,0.352,0.563
58,Positive,Staff & Facilities & Overall,excellent hospitality from checkin to checkout. concierge team was exceptional helped us plan our entire itinerary. spa facilities were worldclass. pool area was beautifully maintained. this hotel exceeded all expectations.,positive,0.629,0.906
59,Negative,Room & Cleanliness & Service,terrible experience. room had a strong musty smell that never went away. carpet was stained and dirty. bathroom tiles were cracked. room service was extremely slow took over an hour for simple requests. definitely not worth the price paid.,negative,-0.269,0.565
60,Positive,Food/Restaurant & Staff & Overall,incredible dining experience. the hotel restaurant serves authentic local cuisine. chef personally came to our table to ensure everything was perfect. waitstaff was attentive and knowledgeable about the menu. best meal we had during our entire trip.,positive,0.475,0.597
61,Mixed,Room & Facilities & Location,decent hotel for the price. rooms are functional but nothing special. wifi was reliable which was important for work. location is convenient but area can be noisy at night. overall acceptable for a short business stay.,positive,0.185,0.508
62,Negative,Staff & Booking & Service,horrible customer service. booking confirmation was wrong had to wait 2 hours at checkin while they sorted it out. staff was rude and unapologetic. no compensation offered. will never book here again.,negative,-0.6,0.833
63,Positive,Overall & Room & Location & Value,fantastic value for money. spacious room with comfortable bed. great location near shopping and restaurants. free breakfast was delicious with good variety. would definitely stay here again on our next visit.,positive,0.422,0.639
64,Positive,Staff & Service & Room,warm and welcoming staff from the moment we arrived. front desk was very helpful with local recommendations. room was spotless and wellappointed. turndown service was a nice touch. felt very pampered during our stay.,positive,0.32,0.44
65,Negative,Facilities & Room & Cleanliness,disappointing stay. gym equipment was broken. pool was closed for maintenance without prior notice. room had visible dust on surfaces. air conditioning was not working properly. hotel needs major improvements.,negative,-0.173,0.3
66,Positive,Food/Breakfast & Staff & Overall,breakfast buffet was outstanding with fresh fruits pastries and hot items. staff remembered our preferences from day one. overall service was impeccable. this hotel knows how to treat guests right.,positive,0.348,0.585
67,Negative,Room & Noise & Staff,worst hotel stay ever. room was right next to elevator constant noise all night. walls are paper thin could hear neighbors clearly. complained to staff but nothing was done. got zero sleep. complete waste of money.,negative,-0.189,0.415
68,Positive,Location & Room & Staff & Value,perfect location for exploring the city. room was modern and comfortable. staff went above and beyond to help with directions and recommendations. great value for the price. would highly recommend to friends and family.,positive,0.427,0.582
69,Mixed,Overall & Facilities & Service,hotel has good bones but needs updating. facilities are dated but functional. service was adequate but not exceptional. price was reasonable for what you get. would stay again if needed but not my first choice.,positive,0.23,0.573
70,Positive,Staff & Room & Food/Restaurant,exceptional staff service throughout our stay. room was beautifully decorated and very comfortable. restaurant had amazing food with great presentation. special dietary requirements were handled perfectly. truly memorable experience.,positive,0.662,0.903
71,Negative,Booking & Room & Service,booking nightmare. website showed room available but upon arrival was told it was overbooked. given a much smaller room as upgrade which was actually a downgrade. staff was unhelpful and dismissive. terrible experience from start to finish.,negative,-0.15,0.5
72,Positive,Overall & Facilities & Location,wonderful hotel with excellent facilities. fitness center was wellequipped. business center had everything needed. location was perfect for both business and leisure. hotel exceeded expectations in every way.,positive,0.56,0.64
73,Negative,Room & Cleanliness & Maintenance,room was in terrible condition. broken furniture stained carpets peeling wallpaper. bathroom had mold in corners. maintenance issues everywhere. housekeeping clearly not doing their job properly. unacceptable for any hotel.,negative,-0.362,0.471
74,Positive,Staff & Service & Overall,outstanding service from every staff member we encountered. they anticipated our needs before we even asked. service was prompt professional and friendly. this hotel sets the standard for hospitality excellence.,positive,0.244,0.369
75,Mixed,Room & Facilities & Location,room was okay but nothing special. facilities were basic but adequate. location was good but area was quite busy. wifi was reliable which was important. overall decent stay but nothing memorable.,positive,0.306,0.51
76,Positive,Food/Restaurant & Staff & Overall,restaurant was exceptional. food quality was outstanding with great variety. staff was knowledgeable about wine pairings. overall dining experience was one of the best weve had. hotel restaurant alone is worth visiting.,positive,0.544,0.504
77,Negative,Service & Facilities & Room,poor service throughout. requests were ignored or took forever. facilities were not maintained properly. room had several issues that were never addressed despite complaints. very disappointing experience overall.,negative,-0.236,0.322
78,Positive,Location & Room & Staff & Value,excellent location in the heart of the city. room was spacious and wellmaintained. staff was friendly and helpful. great value for money. would definitely return on future visits.,positive,0.435,0.575
79,Negative,Staff & Booking & Room,rude staff from the moment we arrived. booking was messed up and they blamed us. room was not ready at checkin time. had to wait in lobby for over an hour. worst customer service experience ever.,negative,-0.467,0.7
80,Positive,Overall & Facilities & Staff,amazing hotel with topnotch facilities. spa was luxurious and relaxing. staff was professional and courteous. every detail was perfect. this is how a luxury hotel should be run.,positive,0.575,0.75
81,Positive,Room & Service & Location,beautiful room with stunning views. room service was fast and food was hot. location was perfect for sightseeing. hotel provided excellent recommendations for local attractions. wonderful stay overall.,positive,0.533,0.717
82,Negative,Cleanliness & Room & Facilities,very dirty hotel. room had not been properly cleaned. found hair in bathroom from previous guests. facilities were rundown and not maintained. would never recommend this place to anyone.,negative,-0.316,0.422
83,Positive,Staff & Food/Restaurant & Overall,incredible staff who made our anniversary special. restaurant prepared a special meal for us. overall experience was magical. hotel went above and beyond to make our stay memorable.,positive,0.373,0.592
84,Mixed,Room & Facilities & Service,room was comfortable but facilities were limited. service was okay but nothing special. location was convenient. price was fair for what you get. acceptable for a short stay but not for longer visits.,positive,0.314,0.536
85,Positive,Location & Room & Staff & Value,perfect location near all major attractions. room was clean and comfortable. staff was very accommodating. excellent value for money. would stay here again without hesitation.,positive,0.447,0.671
86,Negative,Room & Noise & Service,terrible room with constant noise from street. service was slow and unresponsive. complaints were ignored. got very little sleep due to noise. complete waste of money and time.,negative,-0.253,0.451
87,Positive,Overall & Facilities & Staff,outstanding hotel experience. facilities were modern and wellmaintained. staff was exceptional in every way. hotel clearly invests in training their employees. best hotel stay weve ever had.,positive,0.493,0.572
88,Positive,Food/Breakfast & Room & Staff,breakfast was delicious with fresh ingredients. room was spotless and comfortable. staff was attentive and friendly. great way to start each day. highly recommend this hotel.,positive,0.491,0.713
89,Negative,Booking & Room & Service,booking was a disaster. room type was different from what was booked. service was terrible when we complained. staff was unhelpful and rude. will never use this hotel again.,negative,-0.4,0.6
90,Positive,Staff & Room & Overall,wonderful staff who made us feel at home. room was beautifully decorated and very comfortable. overall experience was excellent. hotel has a great team working there.,positive,0.695,0.792
91,Positive,Location & Facilities & Staff,excellent location with easy access to everything. facilities were topquality. staff was professional and helpful. hotel exceeded all our expectations. would definitely return.,positive,0.383,0.608
92,Negative,Room & Cleanliness & Maintenance,room was in poor condition. many things were broken or not working. cleanliness was substandard. maintenance issues were everywhere. hotel needs major renovation and better housekeeping.,positive,0.052,0.5
93,Positive,Food/Restaurant & Staff & Overall,restaurant was amazing with creative menu. staff was knowledgeable and friendly. overall dining experience was exceptional. hotel restaurant is a destination in itself.,positive,0.428,0.68
94,Mixed,Room & Facilities & Location,room was adequate but nothing special. facilities were basic. location was okay but not ideal. service was acceptable. price was reasonable. would stay again if needed but not preferred choice.,positive,0.157,0.522
95,Positive,Overall & Staff & Service,excellent hotel with outstanding service. staff was professional and courteous. service was prompt and efficient. hotel clearly values customer satisfaction. highly recommend to everyone.,positive,0.41,0.65
96,Negative,Service & Room & Facilities,poor service throughout stay. room had issues that were never fixed. facilities were not as advertised. complaints were ignored. very disappointing experience. would not recommend.,negative,-0.41,0.57
97,Positive,Location & Room & Staff,great location for exploring the area. room was clean and comfortable. staff was helpful with local information. hotel provided good value for money. enjoyed our stay.,positive,0.461,0.592
98,Positive,Staff & Food/Restaurant & Overall,amazing staff who remembered our names. restaurant food was exceptional. overall experience was wonderful. hotel creates a warm and welcoming atmosphere. would definitely return.,positive,0.478,0.667
99,Negative,Room & Noise & Cleanliness,room was noisy due to thin walls. cleanliness was questionable. found issues that should have been addressed. hotel needs better soundproofing and housekeeping standards.,negative,-0.131,0.681
100,Positive,Overall & Facilities & Staff,outstanding hotel with excellent facilities. staff was exceptional in every interaction. hotel clearly prioritizes guest satisfaction. best hotel experience weve had in a long time.,positive,0.536,0.66
